		PL	EN	RU
print	print('halo')\r\nprint(3+4)	wypisuje zadane słowo	writes the given word	пишет данное слово
int	a='3'\r\nprint(int(a)*int(a))	zmienia typ słowny na typ liczbowy	changes the word type to a numeric type	изменяет словесный тип на числовой тип
float	a='3'\r\nb=5\r\nprint(float(a)*float(b))	zmienia typ słowny lub int na typ liczby zmiennoprzecinkowej	changes the verbal or int type to a floating-point number type	изменяет вербальный тип или тип int на тип чисел с плавающей запятой
str	a=3\r\nprint('hello '+str(a))	zmienia typ liczbowy na typ słowny	changes the numeric type to word type	изменяет тип числа на словесный тип
for	for i in range(10):\r\nprint(i)\r\na=['one','two','three']\r\nfor i in a:\r\n\tprint(i)\r\nfor i in range(-30,10,3):\r\n\tprint(i)	pętla iterująca po zadanym ciągu	a loop that iterates over a given string	цикл, который повторяется над заданной строкой
while	i = 1\r\nwhile i < 10:\r\n\t print(i)\r\n\t i+=1	pętla iterująca blok instrukcji dopóki nie zajdzie dany warunek	a loop that iterates the instruction block until the condition occurs	цикл, который повторяет блок инструкций до тех пор, пока не возникнет условие
if	a=['one','two','three','four','five']\r\nfor i in a:\r\n\tif 'f' in i:\r\n\t\tprint(i+' contains F')\r\n\t	sprawdza warunek	checks the condition	проверяет состояние
else	for i in range(10):\r\n\tif i%2==0:\r\n\t\tprint(str(i)+' is even')\r\n\telse:\r\n\t\tprint(str(i)+' is odd')	jeśli warunek nie jest spełniony uruchamia blok instrukcji	if the condition is not met, it starts the instruction block	если условие не выполняется, запускается блок инструкций
list.append	a=[]\r\na.append(2)\r\nprint(a)\r\na.append(4)\r\nprint(a)	dodaje element do listy	adds an item to the list	добавляет элемент в список
list.insert	a=['one','three']\r\nprint(a)\r\na.insert(1,'two')\r\nprint(a)	Wstawia do listy element w danym miejscu	Inserts an element in the list in a given place	Вставляет элемент в список в заданном месте
del	a=['one','two','three']\r\nprint(a)\r\ndel a[1]\r\nprint(a)\r\n\r\n\r\nt=[2,3,5,7]\r\nprint(t)\r\ndel t[:]\r\nprint(t)	usuwa elementy z listy o wybranych indeksach	removes items from the list of selected indexes	удаляет элементы из списка с выбранными индексами
list.remove	a=['one','two','three']\r\nprint(a)\r\na.remove("one")\r\nprint(a)	usuwa element z listy	removes an item from the list	удаляет элемент из списка
len	a=['one','two','three']\r\nprint(len(a))	długość listy	list length	длина списка
random.randint	for i in range(10):\r\n\tprint(random.randint(1,3))	losuje liczbę z zakresu	draws a number from the range	рисует число из диапазона
math.sin	print(math.sin(1))	sinus z zadanej liczby	sine of a given number	синус заданного числа
math.cos	print(math.cos(1))	cosinus z zadanej liczby	cosine from a given number	косинус заданного числа
math.pi	print(math.pi)	liczba pi	PI number	число пи
math.pow	print(math.pow(2,3))	potęga liczby	power of number	мощность количество
math.sqrt	print(math.sqrt(2))\r\nprint(math.sqrt(3))\r\nprint(math.sqrt(4))	Pierwiastek kwadratowy z zadanej liczby	Square root of a given number	Квадратный корень из указанного числа
message.show	my_message = message.show('Write a message')\r\nprint(my_message)	wyświetla wiadomość i pobiera wpisane dane	displays the message and retrieves the entered data	выводит сообщение и извлекает введенные данные
vector.angle	print(Vector(10,10).angle)	pobiera kąt wektora w stopniach	gets the vector angle in degrees	возвращает вектор угла в градусах
vector.length	print(Vector(10,10).length)	pobiera długość wektora	gets the length of the vector	возвращает длину вектора
sprite.move	arrow.move(40)	przesuwa duszka o określoną odległość	moves the sprite a certain distance	перемещает спрайт на определенное расстояние
sprite.angle	arrow.move(30)\r\narrow.angle=90\r\narrow.move(30)\r\narrow.angle=180\r\narrow.move(30)	ustawia kąt duszka w stopniach	sets the angle of the sprite in degrees	устанавливает угол спрайта в градусах
