Guid	Path	Original	PL	EN	RU
70593a07-a561-4d3b-a451-7369c6143ad0			Wciśnij jedną z niebieskich strzałek, żeby uruchomić program. Jeśli chcesz go zatrzymać, to wciśnij szary przycisk stop.  Suwakiem możesz regulować jak szybko wykona się kod.	Press one of the blue arrows to run the program. If you want to stop it, press the grey "stop" button. You can use the slider to adjust the speed of code execution.	Нажмите одну из синих стрелок, чтобы запустить программу. Если вы хотите остановить его, нажмите серую кнопку остановки. С помощью ползунка вы можете настроить скорость выполнения кода.
57e98f3f-8202-4f39-8cd3-72c22f899382			Jeśli chcesz żeby królik narysował kaktus, użyj bloczka z instrukcją rysowania.	If you want the rabbit to draw a cactus, use the block with drawing instruction.	Если вы хотите, чтобы кролик нарисовал кактус, используйте блок с инструкциями для рисования.
4b1df16f-759e-402e-9410-4a45f096ba04			Narysuj kaktus. Aby dodać instrukcję przeciągnij bloczek z panelu po lewej stronie do panelu po prawej, aby usunąć instrukcję przeciągnij bloczek z panelu po prawej stronie do panelu po lewej.	Draw a cactus. To add an instruction, drag the block from the left-hand panel to the one on the right. To delete an instruction, drag the block from the right-hand panel to the one on the left.	Нарисуйте кактус. Чтобы добавить инструкцию, перетащите блок с панели слева на панель справа, чтобы удалить инструкцию, перетащите блок с панели справа на панель слева.
9e05e7c5-f167-41e4-8de0-2783077c3b67			Jeśli chcesz żeby królik narysował kaktus w innym miejscu, musisz go najpierw przesunąć. Użyj instrukcji "przesuń królika w prawo".	If you want the rabbit to draw a cactus in a different place, you need to move it first. Use the "move the rabbit right" instruction.	Если вы хотите, чтобы кролик нарисовал кактус в другом месте, вы должны сначала переместить его. Используйте инструкцию «переместить кролика вправо».
194432e1-cafa-4721-80b3-359fc0935f19			Posadź kaktusy obok siebie.	Plant the cacti next to one another.	Сажайте кактусы рядом друг с другом.
42044a98-9787-4877-ae75-a39a64b57fd9			Narysuj kaktusy w zaznaczonych miejscach.	Draw cacti in the marked places.	Нарисуйте кактусы в отмеченных местах.
3478be5f-6a21-4fe7-9425-355e62e2e752			Możesz rysować też inne przedmioty. Wystarczy przeciągnąć obrazek w okienko w instrukcji.	Вы можете рисовать и другие объекты. Все, что вам нужно сделать, это перетащить картинку в окно инструкции.	Вы можете рисовать и другие объекты. Все, что вам нужно сделать, это перетащить картинку в окно инструкции.
a20a29c2-1684-4d52-bd2d-ed82328212c6			Narysuj trampolinę i platformę z ziemi.	Draw a trampoline and a platform made of earth.	Нарисуйте батут и платформу с земли.
06c74706-d6d8-4b53-b230-1efc1d728e1f			Wypełnij pierwszy basen lawą, a drugi wodą. Jeśli chcesz podejrzeć jak ma wyglądać plansza to kliknij gwiazdkę na zielonym tle.	Fill the first pool with lava, and the other one with water. For grid preview, click the star on a green background.	Наполните первый бассейн лавой, а второй водой. Если вы хотите просмотреть, как должна выглядеть доска, нажмите на звездочку на зеленом фоне.
0114e338-909b-4468-8bea-54dda54ee81c			Kilku elementów brakuje, uzupełnij je.	There are a few elements missing. Complete them.	Несколько элементов отсутствуют, дополните их.
